Production Line,Machine ID,Shift,Date,Units Produced,Defect Rate,Downtime Minutes
Line A,M-100,Morning,2023-06-14,145,2.42,13
Line B,M-101,Morning,2023-06-14,513,4.47,44
Line D,M-103,Morning,2023-06-14,475,0.0,34
Line C,M-104,Afternoon,2023-06-15,580,0.0,31
Line C,M-107,Morning,2023-06-15,402,1.81,70
Line B,M-102,Morning,2023-06-15,243,6.39,29
Line A,M-107,Afternoon,2023-06-15,464,4.12,2
Line B,M-107,Morning,2023-06-15,478,1.55,83
Line A,M-100,Morning,2023-06-15,439,4.87,62
Line C,M-101,Afternoon,2023-06-16,461,3.74,28
Line A,M-104,Afternoon,2023-06-16,408,1.22,40
Line B,M-101,Morning,2023-06-16,422,4.41,50
Line A,M-106,Night,2023-06-16,85,2.34,39
Line D,M-100,Morning,2023-06-16,528,0.76,4
Line A,M-102,Morning,2023-06-16,165,3.88,45
Line B,M-105,Afternoon,2023-06-17,417,1.49,6
Line C,M-105,Night,2023-06-17,237,1.39,0
Line C,M-102,Morning,2023-06-17,248,3.81,72
Line D,M-106,Night,2023-06-17,127,3.68,19
Line A,M-100,Night,2023-06-17,157,3.27,55
Line C,M-102,Morning,2023-06-17,421,2.33,8
Line C,M-103,Night,2023-06-18,145,4.83,39
Line C,M-102,Afternoon,2023-06-18,91,1.47,14
Line C,M-100,Night,2023-06-18,589,1.29,46
Line C,M-107,Morning,2023-06-18,93,5.24,80
Line A,M-106,Night,2023-06-18,163,4.59,14
Line C,M-106,Morning,2023-06-18,597,0.0,27
Line A,M-100,Morning,2023-06-19,212,4.5,18
Line B,M-104,Night,2023-06-19,103,4.21,53
Line C,M-103,Afternoon,2023-06-19,367,3.19,72
Line B,M-105,Afternoon,2023-06-19,590,5.24,1
Line A,M-101,Afternoon,2023-06-19,265,3.87,85
Line D,M-106,Afternoon,2023-06-19,485,0.0,78
Line A,M-104,Night,2023-06-20,385,2.78,58
Line B,M-103,Night,2023-06-20,340,1.88,39
Line B,M-105,Afternoon,2023-06-20,316,2.33,21
Line C,M-101,Morning,2023-06-20,446,5.78,70
Line C,M-101,Afternoon,2023-06-20,351,2.32,20
Line A,M-105,Morning,2023-06-20,358,3.6,89
Line D,M-107,Morning,2023-06-21,533,2.42,54
Line D,M-107,Morning,2023-06-21,207,2.13,31
Line B,M-101,Morning,2023-06-21,594,1.31,25
Line A,M-102,Afternoon,2023-06-21,188,3.78,74
Line C,M-105,Afternoon,2023-06-21,482,6.96,7
Line D,M-102,Night,2023-06-21,294,2.85,51
Line A,M-106,Morning,2023-06-22,127,5.28,10
Line C,M-103,Morning,2023-06-22,361,4.31,11
Line D,M-103,Morning,2023-06-22,499,2.93,30
Line C,M-106,Night,2023-06-22,384,0.79,48
Line D,M-107,Night,2023-06-22,506,6.9,73
Line B,M-107,Afternoon,2023-06-22,169,4.95,20
Line A,M-102,Night,2023-06-23,544,2.91,21
Line C,M-101,Morning,2023-06-23,474,4.87,78
Line A,M-105,Night,2023-06-23,448,2.27,64
Line C,M-106,Night,2023-06-23,591,3.86,2
Line A,M-105,Afternoon,2023-06-23,401,0.51,67
Line C,M-101,Night,2023-06-23,335,3.96,57
Line C,M-100,Night,2023-06-24,483,2.58,10
Line C,M-102,Morning,2023-06-24,98,2.86,83
Line A,M-106,Night,2023-06-24,109,3.21,24
Line B,M-101,Morning,2023-06-24,400,3.73,2
Line B,M-100,Afternoon,2023-06-24,406,1.63,86
Line D,M-106,Morning,2023-06-24,419,1.42,22
Line C,M-102,Morning,2023-06-25,355,3.48,54
Line B,M-106,Morning,2023-06-25,552,2.03,69
Line C,M-105,Morning,2023-06-25,213,2.14,19
Line A,M-103,Morning,2023-06-25,261,3.37,51
Line A,M-106,Afternoon,2023-06-25,396,2.5,56
Line C,M-105,Morning,2023-06-25,227,1.17,47
Line A,M-100,Morning,2023-06-26,501,3.91,27
Line A,M-106,Afternoon,2023-06-26,172,2.36,27
Line C,M-101,Night,2023-06-26,404,1.95,27
Line B,M-101,Morning,2023-06-26,592,4.05,68
Line D,M-101,Morning,2023-06-26,273,4.38,72
Line D,M-101,Morning,2023-06-26,567,5.14,57
Line A,M-102,Afternoon,2023-06-27,343,1.52,25
Line A,M-103,Afternoon,2023-06-27,122,5.12,9
Line A,M-105,Afternoon,2023-06-27,98,1.49,59
Line B,M-107,Morning,2023-06-27,407,1.23,25
Line A,M-104,Morning,2023-06-27,425,4.93,49
Line D,M-102,Night,2023-06-27,561,2.11,58
Line B,M-105,Afternoon,2023-06-28,334,1.07,39
Line D,M-105,Afternoon,2023-06-28,448,3.24,51
Line B,M-106,Night,2023-06-28,301,4.02,33
Line A,M-103,Morning,2023-06-28,294,0.85,54
Line A,M-107,Afternoon,2023-06-28,271,2.4,5
Line A,M-106,Morning,2023-06-28,256,4.02,83
Line C,M-101,Afternoon,2023-06-29,213,0.0,10
Line D,M-102,Afternoon,2023-06-29,276,0.52,89
Line A,M-107,Afternoon,2023-06-29,341,1.25,31
Line B,M-102,Morning,2023-06-29,500,2.07,28
Line A,M-103,Afternoon,2023-06-29,573,3.67,11
Line B,M-105,Afternoon,2023-06-29,339,2.98,56
Line B,M-104,Afternoon,2023-06-30,565,4.93,33
Line B,M-107,Night,2023-06-30,584,5.19,32
Line A,M-106,Afternoon,2023-06-30,281,2.55,45
Line B,M-102,Afternoon,2023-06-30,138,3.21,33
Line C,M-100,Afternoon,2023-06-30,469,1.6,38
Line D,M-101,Night,2023-06-30,438,4.47,82
Line C,M-103,Morning,2023-07-01,129,4.56,66
Line C,M-103,Afternoon,2023-07-01,327,4.39,59
Line C,M-105,Afternoon,2023-07-01,534,3.6,49
Line D,M-104,Afternoon,2023-07-01,591,3.13,58
Line A,M-100,Afternoon,2023-07-01,561,2.32,38
Line D,M-104,Afternoon,2023-07-01,190,2.6,43
Line C,M-105,Morning,2023-07-02,521,0.1,4
Line B,M-104,Morning,2023-07-02,481,3.7,45
Line A,M-105,Morning,2023-07-02,81,3.08,88
Line B,M-105,Morning,2023-07-02,431,1.06,61
Line C,M-102,Afternoon,2023-07-02,310,3.91,27
Line D,M-107,Afternoon,2023-07-02,108,0.0,47
Line A,M-107,Night,2023-07-03,236,4.17,19
Line D,M-107,Night,2023-07-03,487,3.34,0
Line C,M-104,Afternoon,2023-07-03,522,0.82,84
Line C,M-103,Night,2023-07-03,542,5.74,23
Line B,M-104,Afternoon,2023-07-03,146,1.78,44
Line B,M-104,Morning,2023-07-03,547,0.11,45
Line C,M-100,Morning,2023-07-04,314,1.52,60
Line A,M-105,Night,2023-07-04,534,3.92,72
Line C,M-100,Morning,2023-07-04,516,2.48,62
Line B,M-104,Morning,2023-07-04,148,0.0,34
Line B,M-101,Morning,2023-07-04,225,2.2,13
Line A,M-103,Afternoon,2023-07-04,443,2.25,71
Line B,M-103,Afternoon,2023-07-05,254,2.46,74
Line A,M-106,Morning,2023-07-05,402,3.12,29
Line A,M-106,Afternoon,2023-07-05,580,3.4,77
Line C,M-106,Night,2023-07-05,558,4.5,24
Line B,M-105,Night,2023-07-05,389,1.52,32
Line C,M-105,Afternoon,2023-07-05,86,0.31,2
Line B,M-100,Afternoon,2023-07-06,303,3.91,23
Line C,M-104,Afternoon,2023-07-06,231,2.12,8
Line B,M-102,Morning,2023-07-06,445,0.25,33
Line A,M-107,Afternoon,2023-07-06,89,4.8,81
Line B,M-105,Afternoon,2023-07-06,438,3.34,12
Line B,M-102,Afternoon,2023-07-06,129,2.82,40
Line D,M-103,Night,2023-07-07,595,1.31,51
Line C,M-105,Night,2023-07-07,188,5.78,17
Line C,M-100,Night,2023-07-07,485,1.74,78
Line B,M-100,Night,2023-07-07,234,1.67,51
Line A,M-101,Night,2023-07-07,144,1.99,15
Line D,M-104,Afternoon,2023-07-07,319,3.7,32
Line A,M-100,Afternoon,2023-07-08,337,0.57,61
Line C,M-100,Afternoon,2023-07-08,419,1.21,84
Line B,M-107,Morning,2023-07-08,88,6.11,80
Line C,M-102,Morning,2023-07-08,317,0.0,43
Line A,M-104,Morning,2023-07-08,323,1.13,26
Line C,M-101,Morning,2023-07-08,306,2.74,15
Line A,M-100,Morning,2023-07-09,588,2.1,63
Line D,M-104,Afternoon,2023-07-09,493,3.91,80
Line A,M-102,Morning,2023-07-09,471,0.0,51
Line C,M-104,Afternoon,2023-07-09,311,1.35,0
Line B,M-102,Morning,2023-07-09,104,0.77,30
Line A,M-101,Morning,2023-07-09,498,0.55,47
Line B,M-106,Morning,2023-07-10,479,4.36,74
Line D,M-102,Afternoon,2023-07-10,218,0.0,54
Line B,M-106,Morning,2023-07-10,566,0.6,46
Line C,M-107,Afternoon,2023-07-10,277,1.55,39
Line C,M-104,Morning,2023-07-10,469,0.32,10
Line D,M-103,Morning,2023-07-10,452,3.39,49
Line C,M-102,Morning,2023-07-11,273,0.3,59
Line C,M-100,Morning,2023-07-11,429,5.85,37
Line D,M-101,Night,2023-07-11,122,4.16,15
Line B,M-101,Morning,2023-07-11,174,4.42,25
Line B,M-107,Afternoon,2023-07-11,224,3.66,12
Line A,M-104,Morning,2023-07-11,574,1.56,27
Line B,M-105,Night,2023-07-12,368,0.39,44
Line D,M-101,Night,2023-07-12,92,0.72,40
Line A,M-105,Morning,2023-07-12,250,2.22,86
Line B,M-102,Morning,2023-07-12,459,0.35,36
Line B,M-107,Night,2023-07-12,174,2.63,78
Line A,M-103,Morning,2023-07-12,256,5.64,78
Line B,M-104,Night,2023-07-13,190,0.25,69
Line D,M-105,Morning,2023-07-13,221,0.0,5
Line B,M-107,Afternoon,2023-07-13,486,4.16,38
Line C,M-105,Afternoon,2023-07-13,146,2.65,62
Line A,M-106,Morning,2023-07-13,361,1.12,40
Line B,M-103,Afternoon,2023-07-13,443,1.47,81
Line C,M-104,Afternoon,2023-07-14,289,3.84,15
Line A,M-104,Afternoon,2023-07-14,398,3.26,3
Line A,M-102,Afternoon,2023-07-14,537,1.06,45
Line A,M-101,Night,2023-07-14,508,0.41,1
Line A,M-106,Afternoon,2023-07-14,358,6.19,85
Line A,M-101,Morning,2023-07-14,534,4.12,0
Line C,M-104,Night,2023-07-15,337,4.42,82
Line B,M-101,Morning,2023-07-15,368,1.87,23
Line D,M-106,Morning,2023-07-15,336,1.19,13
Line B,M-105,Morning,2023-07-15,156,3.85,50
Line C,M-101,Night,2023-07-15,360,3.21,50
Line A,M-105,Afternoon,2023-07-15,276,0.35,35
Line A,M-106,Morning,2023-07-16,558,3.92,89
Line D,M-105,Afternoon,2023-07-16,297,3.51,89
Line C,M-100,Night,2023-07-16,455,1.29,40
Line A,M-102,Afternoon,2023-07-16,276,0.0,45
Line D,M-107,Morning,2023-07-16,489,1.06,49
Line B,M-100,Night,2023-07-16,544,6.1,6
Line B,M-106,Night,2023-07-17,352,2.29,75
Line A,M-101,Night,2023-07-17,407,2.76,17
Line A,M-102,Afternoon,2023-07-17,144,2.4,5
Line C,M-100,Night,2023-07-17,542,1.33,52
Line B,M-106,Morning,2023-07-17,587,1.84,30
Line D,M-100,Night,2023-07-17,598,1.87,45
Line C,M-107,Night,2023-07-18,472,0.23,88
Line C,M-107,Night,2023-07-18,483,3.4,22
Line C,M-107,Night,2023-07-18,511,3.67,68
Line C,M-107,Afternoon,2023-07-18,402,2.26,52
Line B,M-102,Night,2023-07-18,453,0.75,86
Line B,M-100,Morning,2023-07-18,96,0.0,19
Line A,M-106,Morning,2023-07-19,557,6.29,31
Line A,M-104,Morning,2023-07-19,80,2.63,46
Line C,M-105,Afternoon,2023-07-19,370,2.32,46
Line B,M-102,Morning,2023-07-19,85,5.2,46
Line D,M-103,Night,2023-07-19,514,3.85,38
Line A,M-101,Night,2023-07-19,264,3.02,89
Line C,M-105,Night,2023-07-20,277,5.86,59
Line A,M-101,Morning,2023-07-20,508,5.82,51
Line A,M-101,Morning,2023-07-20,131,2.17,61
Line B,M-107,Morning,2023-07-20,432,2.72,16
Line C,M-100,Night,2023-07-20,336,3.82,31
Line A,M-107,Morning,2023-07-20,545,3.78,41
Line D,M-100,Morning,2023-07-21,500,3.23,65
Line B,M-104,Afternoon,2023-07-21,147,2.37,67
Line A,M-103,Morning,2023-07-21,403,1.57,13
Line C,M-106,Morning,2023-07-21,346,4.41,47
Line C,M-104,Night,2023-07-21,265,2.96,44
Line C,M-104,Night,2023-07-21,567,1.71,35
Line C,M-106,Morning,2023-07-22,451,4.23,42
Line C,M-104,Morning,2023-07-22,553,3.78,15
Line B,M-100,Morning,2023-07-22,103,1.85,0
Line D,M-106,Afternoon,2023-07-22,344,2.2,20
Line A,M-103,Night,2023-07-22,354,2.56,84
Line B,M-100,Afternoon,2023-07-22,228,2.24,61
Line B,M-107,Morning,2023-07-23,95,1.19,38
Line C,M-101,Night,2023-07-23,388,1.34,11
Line C,M-100,Morning,2023-07-23,314,2.96,36
Line B,M-100,Night,2023-07-23,388,5.23,37
Line C,M-107,Afternoon,2023-07-23,226,0.0,11
Line A,M-102,Afternoon,2023-07-23,489,5.55,17
Line B,M-105,Afternoon,2023-07-24,223,1.43,20
Line B,M-103,Afternoon,2023-07-24,303,2.07,27
Line D,M-106,Night,2023-07-24,342,0.0,61
Line A,M-104,Morning,2023-07-24,313,0.0,39
Line A,M-107,Night,2023-07-24,291,1.64,26
Line C,M-101,Night,2023-07-24,202,3.26,18
Line C,M-102,Night,2023-07-25,326,0.0,76
Line D,M-105,Morning,2023-07-25,385,0.0,13
Line D,M-105,Afternoon,2023-07-25,547,0.0,70
Line A,M-104,Morning,2023-07-25,454,1.29,38
Line C,M-103,Afternoon,2023-07-25,531,0.0,14
Line A,M-101,Afternoon,2023-07-25,326,2.1,85
Line C,M-107,Night,2023-07-26,154,0.0,67
Line C,M-105,Morning,2023-07-26,420,5.89,24
Line A,M-106,Night,2023-07-26,498,3.39,8
Line D,M-102,Morning,2023-07-26,460,3.05,16
Line D,M-100,Morning,2023-07-26,401,1.66,47
Line B,M-107,Night,2023-07-26,165,3.2,15
Line B,M-106,Morning,2023-07-27,296,0.28,40
Line C,M-106,Morning,2023-07-27,499,1.71,78
Line D,M-101,Morning,2023-07-27,322,3.79,86
Line C,M-102,Morning,2023-07-27,105,1.18,62
Line B,M-105,Night,2023-07-27,123,4.0,6
Line C,M-102,Afternoon,2023-07-27,459,4.07,65
Line B,M-106,Night,2023-07-28,575,4.21,11
Line B,M-104,Morning,2023-07-28,486,3.98,2
Line A,M-102,Afternoon,2023-07-28,239,0.27,43
Line C,M-100,Night,2023-07-28,410,2.74,55
Line B,M-100,Afternoon,2023-07-28,567,3.05,20
Line D,M-102,Afternoon,2023-07-28,331,0.59,1
Line D,M-104,Morning,2023-07-29,165,3.93,77
Line B,M-107,Morning,2023-07-29,165,0.78,65
Line A,M-103,Night,2023-07-29,450,4.5,61
Line C,M-103,Afternoon,2023-07-29,183,2.23,85
Line A,M-103,Night,2023-07-29,394,3.28,58
Line C,M-107,Afternoon,2023-07-29,319,0.7,26
Line C,M-106,Morning,2023-07-30,571,0.91,68
Line C,M-104,Night,2023-07-30,490,2.2,73
Line A,M-104,Afternoon,2023-07-30,321,2.87,81
Line A,M-102,Morning,2023-07-30,124,6.97,87
Line D,M-105,Morning,2023-07-30,280,2.15,35
Line A,M-100,Morning,2023-07-30,515,2.5,22
Line A,M-100,Afternoon,2023-07-31,523,4.91,10
Line C,M-107,Morning,2023-07-31,159,3.81,25
Line C,M-105,Afternoon,2023-07-31,392,2.4,12
Line A,M-105,Night,2023-07-31,452,5.87,79
Line C,M-104,Afternoon,2023-07-31,126,5.12,55
Line A,M-105,Morning,2023-07-31,368,1.98,6
Line A,M-106,Afternoon,2023-08-01,247,2.96,10
Line B,M-106,Morning,2023-08-01,398,0.0,77
Line D,M-107,Night,2023-08-01,97,0.37,12
Line B,M-103,Afternoon,2023-08-01,518,3.47,7
Line C,M-104,Afternoon,2023-08-01,106,2.88,28
Line A,M-103,Night,2023-08-01,150,1.05,8
Line A,M-105,Morning,2023-08-02,390,2.8,1
Line B,M-101,Night,2023-08-02,361,0.39,3
Line D,M-100,Morning,2023-08-02,535,0.31,1
Line C,M-107,Night,2023-08-02,361,1.65,21
Line B,M-107,Afternoon,2023-08-02,309,2.89,84
Line D,M-107,Morning,2023-08-02,597,1.06,20
Line A,M-107,Night,2023-08-03,568,1.28,18
Line D,M-102,Morning,2023-08-03,446,0.88,49
Line B,M-106,Afternoon,2023-08-03,391,0.17,84
Line D,M-103,Afternoon,2023-08-03,473,2.33,62
Line A,M-101,Afternoon,2023-08-03,532,0.94,47
Line D,M-101,Afternoon,2023-08-03,538,1.34,53
Line A,M-107,Afternoon,2023-08-04,432,1.73,81
Line A,M-102,Afternoon,2023-08-04,550,3.88,16
Line D,M-101,Night,2023-08-04,279,0.0,34
Line B,M-105,Morning,2023-08-04,558,3.03,56
Line A,M-103,Morning,2023-08-04,501,4.82,2
Line C,M-100,Night,2023-08-04,444,3.0,84
Line B,M-101,Afternoon,2023-08-05,188,1.03,14
Line A,M-103,Morning,2023-08-05,235,7.3,40
Line B,M-101,Morning,2023-08-05,408,2.49,39
Line B,M-106,Night,2023-08-05,143,1.34,24
Line B,M-106,Afternoon,2023-08-05,356,5.47,8
Line C,M-101,Night,2023-08-05,329,2.15,88
Line B,M-102,Night,2023-08-06,265,4.09,32
Line A,M-104,Afternoon,2023-08-06,513,3.77,31
Line A,M-105,Morning,2023-08-06,101,2.44,9
Line A,M-102,Afternoon,2023-08-06,177,0.69,26
Line D,M-106,Night,2023-08-06,595,2.83,40
Line A,M-104,Night,2023-08-06,190,0.0,24
Line A,M-100,Morning,2023-08-07,228,2.8,71
Line C,M-106,Night,2023-08-07,458,1.78,27
Line B,M-107,Afternoon,2023-08-07,595,2.59,58
Line A,M-105,Morning,2023-08-07,183,2.89,72
Line A,M-102,Afternoon,2023-08-07,298,5.49,29
Line A,M-105,Afternoon,2023-08-07,533,2.09,52
Line A,M-106,Afternoon,2023-08-08,285,3.04,70
Line C,M-101,Afternoon,2023-08-08,149,3.6,0
Line C,M-104,Afternoon,2023-08-08,174,0.0,40
Line A,M-102,Night,2023-08-08,481,2.92,70
Line B,M-104,Afternoon,2023-08-08,256,2.25,18
Line B,M-100,Afternoon,2023-08-08,330,2.16,11
Line B,M-106,Night,2023-08-09,595,3.13,29
Line B,M-103,Afternoon,2023-08-09,236,0.22,74
Line B,M-106,Night,2023-08-09,584,0.0,47
Line A,M-107,Afternoon,2023-08-09,153,2.75,50
Line B,M-101,Afternoon,2023-08-09,556,0.42,80
Line B,M-107,Night,2023-08-09,567,2.91,89
Line B,M-107,Morning,2023-08-10,174,2.18,11
Line B,M-105,Morning,2023-08-10,146,2.82,22
Line B,M-103,Afternoon,2023-08-10,255,0.73,22
Line A,M-102,Afternoon,2023-08-10,585,1.97,84
Line B,M-107,Night,2023-08-10,534,2.37,31
Line C,M-101,Morning,2023-08-10,370,4.54,10
Line A,M-101,Morning,2023-08-11,125,0.0,45
Line B,M-106,Afternoon,2023-08-11,208,2.23,31
Line C,M-101,Afternoon,2023-08-11,486,4.23,26
Line C,M-105,Morning,2023-08-11,273,3.29,84
Line B,M-107,Morning,2023-08-11,566,3.04,8
Line A,M-106,Morning,2023-08-11,433,2.99,17
Line B,M-102,Night,2023-08-12,324,2.79,82
Line A,M-101,Night,2023-08-12,398,4.27,12
Line B,M-103,Afternoon,2023-08-12,454,1.33,72
Line A,M-101,Afternoon,2023-08-12,166,0.68,83
Line B,M-105,Afternoon,2023-08-12,512,0.0,61
Line A,M-105,Night,2023-08-12,125,4.85,60
Line C,M-104,Night,2023-08-13,369,3.99,31
Line B,M-105,Afternoon,2023-08-13,468,0.0,69
Line A,M-100,Night,2023-08-13,353,0.0,3
Line B,M-106,Afternoon,2023-08-13,486,1.07,77
Line D,M-107,Night,2023-08-13,454,4.73,84
Line D,M-100,Morning,2023-08-13,120,4.57,8
Line C,M-102,Afternoon,2023-08-14,259,0.86,8
Line A,M-107,Night,2023-08-14,211,4.13,41
Line A,M-100,Afternoon,2023-08-14,236,5.05,36
Line A,M-103,Afternoon,2023-08-14,514,3.04,85
Line D,M-101,Afternoon,2023-08-14,278,1.1,50
Line D,M-104,Afternoon,2023-08-14,187,5.06,28
Line B,M-104,Afternoon,2023-08-15,251,1.97,50
Line B,M-100,Morning,2023-08-15,114,4.71,67
Line B,M-103,Night,2023-08-15,466,3.92,47
Line D,M-100,Morning,2023-08-15,244,1.74,35
Line C,M-107,Afternoon,2023-08-15,313,2.26,78
Line A,M-100,Night,2023-08-15,242,3.73,66
Line D,M-101,Morning,2023-08-16,401,4.05,52
Line A,M-106,Afternoon,2023-08-16,368,2.79,0
Line A,M-102,Afternoon,2023-08-16,150,5.21,44
Line D,M-104,Morning,2023-08-16,125,6.29,19
Line A,M-106,Morning,2023-08-16,576,0.06,89
Line C,M-107,Afternoon,2023-08-16,435,1.98,58
Line A,M-106,Night,2023-08-17,585,3.11,3
Line B,M-104,Afternoon,2023-08-17,532,3.32,79
Line C,M-103,Afternoon,2023-08-17,245,1.41,28
Line A,M-106,Afternoon,2023-08-17,154,5.14,63
Line A,M-104,Morning,2023-08-17,205,2.02,8
Line A,M-104,Night,2023-08-17,206,4.06,80
Line D,M-101,Morning,2023-08-18,448,5.62,4
Line C,M-105,Morning,2023-08-18,505,1.91,11
Line B,M-104,Afternoon,2023-08-18,172,4.2,63
Line B,M-101,Morning,2023-08-18,371,3.71,17
Line D,M-106,Morning,2023-08-18,276,2.5,16
Line C,M-105,Night,2023-08-18,94,3.22,39
Line B,M-103,Afternoon,2023-08-19,569,1.42,64
Line B,M-104,Night,2023-08-19,324,3.39,26
Line A,M-102,Night,2023-08-19,85,2.53,41
Line C,M-106,Morning,2023-08-19,351,0.72,24
Line C,M-105,Morning,2023-08-19,122,1.42,77
Line A,M-102,Morning,2023-08-19,163,4.95,0
Line D,M-102,Afternoon,2023-08-20,194,2.49,72
Line B,M-102,Afternoon,2023-08-20,520,3.59,23
Line A,M-104,Night,2023-08-20,471,2.45,55
Line B,M-106,Morning,2023-08-20,599,4.0,22
Line C,M-102,Morning,2023-08-20,436,5.32,19
Line C,M-104,Night,2023-08-20,303,2.41,45
Line C,M-107,Night,2023-08-21,495,1.42,72
Line A,M-101,Night,2023-08-21,310,3.81,63
Line C,M-102,Night,2023-08-21,317,1.38,35
Line A,M-106,Afternoon,2023-08-21,521,3.05,81
Line C,M-107,Night,2023-08-21,366,2.85,67
Line A,M-107,Morning,2023-08-21,456,1.5,68
Line C,M-106,Night,2023-08-22,224,3.63,85
Line D,M-106,Afternoon,2023-08-22,276,1.67,24
Line B,M-103,Afternoon,2023-08-22,411,1.67,70
Line D,M-103,Morning,2023-08-22,499,2.94,41
Line B,M-106,Morning,2023-08-22,142,2.34,4
Line D,M-101,Morning,2023-08-22,335,4.28,46
Line B,M-101,Afternoon,2023-08-23,146,1.98,57
Line D,M-101,Afternoon,2023-08-23,376,3.0,12
Line D,M-105,Afternoon,2023-08-23,432,5.43,53
Line B,M-101,Morning,2023-08-23,233,2.77,88
Line D,M-107,Morning,2023-08-23,546,4.91,70
Line C,M-106,Night,2023-08-23,153,1.37,25
Line B,M-102,Morning,2023-08-24,281,2.78,65
Line C,M-101,Morning,2023-08-24,386,2.0,10
